iter	RMSE
0	9677.170275
1	6450.205459
2	6414.898705
3	6370.488609
4	6327.986951
5	9383.81559266	9321.21655877	9272.373308	8	9196.103409
9	9135.697439
10	9062.776691111	9020.511595
12	8953.536246
13	8888.704362
14	8838.992745
15	8790.786388
16	8724.099144
17	8660.773678
18	8612.83333
19	8552.330346
20	8502.368855
21	8442.576261
22	8384.802249
23	8339.11535
24	8297.107269
25	8254.060263
26	8207.59852
27	8162.067419
28	8119.84392
29	8048.597386
30	7987.63799
31	7948.01217
32	7875.81878
33	7834.242235
34	7791.78184
35	7758.920317
36	7702.764093
37	7646.753377
38	7617.363541
39	7570.918277
40	7536.017593
41	7490.158215
42	7438.302177
43	7406.562879
44	7367.744839
45	7323.161324
46	7271.80186
47	7214.514794
48	7165.540396
49	7128.852311
50	7083.807409
51	7044.486279
52	6988.622959
53	6954.565658
54	6902.325439
55	6863.679378
56	6807.147414
57	6777.733587
58	6744.245083
59	6701.894115
60	6647.200972
61	6606.112548
62	6573.87933
63	6530.701246
64	6479.292367
65	6449.80328
66	6405.502858
67	6375.874183
68	6330.048256
69	6283.032047
70	6235.967161
71	6189.116659
72	6154.308548
73	6117.854327
74	6078.046382
75	6038.479328
76	6005.778619
77	5973.866341
78	5936.039319
79	5890.341703
80	5851.63209
81	5810.134051
82	5781.643106
83	5737.400382
84	5700.697186
85	5666.125884
86	5636.325844
87	5609.61055
88	5577.39595
89	5549.413126
90	5516.880928
91	5487.466362
92	5458.826422
93	5418.698961
94	5377.443526
95	5345.5578
96	5316.772778
97	5279.772631
98	5267.658595
99	5229.631939
100	5183.171209
101	5154.886218
102	5123.166288
103	5096.175746
104	5058.222221
105	5030.317462
106	5002.949858
107	4989.201845
108	4961.151866
109	4930.895554
110	4913.353417
111	4894.813086
112	4870.773591
113	4844.288064
114	4819.098427
115	4782.641709
116	4757.974052
117	4734.179268
118	4712.152247
119	4691.98167
120	4653.84388
121	4629.207529
122	4611.905695
123	4594.611342
124	4561.439684
125	4536.738217
126	4516.446035
127	4494.927202
128	4474.731182
129	4454.485939
130	4425.746639
131	4394.339675
132	4371.863875
133	4352.229985
134	4334.972986
135	4311.828288
136	4280.943835
137	4254.14847
138	4225.625921
139	4199.992885
140	4164.043432
141	4148.713297
142	4140.247016
143	4118.114115
144	4098.63729
145	4082.370867
146	4055.059191
147	4025.880717
148	4008.339866
149	3996.273531
150	3974.161404
151	3943.439141
152	3927.840462
153	3899.277392
154	3878.389667
155	3858.849101
156	3830.065103
157	3820.003504
158	3805.504411
159	3791.638339
160	3766.726974
161	3749.587079
162	3729.70469
163	3720.057073
164	3704.658059
165	3687.731472
166	3672.950077
167	3648.766246
168	3635.15377
169	3611.307706
170	3593.061688
171	3580.528953
172	3565.457314
173	3545.234314
174	3515.981841
175	3503.607367
176	3488.891408
177	3474.79674
178	3460.303046
179	3436.850853
180	3421.846911
181	3402.392205
182	3387.797529
183	3370.496089
184	3360.657025
185	3340.513488
186	3324.891766
187	3312.755574
188	3294.723033
189	3284.075357
190	3268.644231
191	3251.957483
192	3230.394234
193	3217.85386
194	3207.630652
195	3196.156433
196	3185.325909
197	3166.98527
198	3140.300795
199	3123.365215
200	3105.243105
201	3093.05296
202	3079.387207
203	3061.972924
204	3044.753017
205	3033.914912
206	3021.129282
207	3001.059021
208	2989.832805
209	2978.099891
210	2966.016415
211	2954.674827
212	2941.414377
213	2932.733187
214	2916.352209
215	2905.880883
216	2886.679527
217	2874.937876
218	2863.842008
219	2853.646578
220	2838.336604
221	2823.457199
222	2814.686734
223	2805.592563
224	2796.4404
225	2786.905673
226	2774.746907
227	2760.319195
228	2751.858223
229	2741.759474
230	2731.323867
231	2720.707113
232	2708.137081
233	2699.24966
234	2691.714993
235	2681.408881
236	2669.054838
237	2657.430913
238	2647.291454
239	2636.616745
240	2624.840145
241	2611.812507
242	2596.368617
243	2588.695148
244	2571.033646
245	2560.125869
246	2549.003373
247	2537.000226
248	2527.338666
249	2519.682951
250	2510.61189
251	2503.142752
252	2495.536876
253	2486.82748
254	2479.603261
255	2471.780333
256	2463.096419
257	2452.864671
258	2445.158088
259	2422.184538
260	2412.429654
261	2402.046258
262	2394.430076
263	2373.064694
264	2365.440177
265	2358.059075
266	2349.768511
267	2328.916249
268	2315.521463
269	2295.650835
270	2277.2135
271	2270.33139
272	2262.766955
273	2255.236894
274	2248.673144
275	2242.385553
276	2218.580461
277	2211.330036
278	2193.727987
279	2187.807074
280	2170.999188
281	2163.771003
282	2157.660951
283	2138.424327
284	2131.67992
285	2125.890344
286	2119.968646
287	2097.688545
288	2091.630978
289	2069.798597
290	2051.901368
291	2045.900863
292	2039.691214
293	2024.913995
294	2019.357672
295	2014.210822
296	2007.860144
297	2002.752635
298	1984.001636
299	1967.317168
300	1950.712781
301	1934.361437
302	1916.409375
303	1911.560381
304	1894.626912
305	1877.479296
306	1872.811658
307	1855.455041
308	1840.196184
309	1835.962914
310	1819.264428
311	1815.248616
312	1801.903948
313	1797.772518
314	1793.845107
315	1789.786939
316	1785.930766
317	1781.893978
318	1767.92447
319	1751.871181
320	1736.057991
321	1720.739995
322	1717.057902
323	1702.71546
324	1699.093515
325	1685.718135
326	1674.006481
327	1670.446152
328	1666.924872
329	1663.442241
330	1659.997862
331	1645.565526
332	1641.548721
333	1626.052199
334	1611.958169
335	1608.611709
336	1605.302073
337	1592.810902
338	1579.251641
339	1575.993339
340	1561.13685
341	1557.934444
342	1554.76732
343	1541.5583734344	1528.5588734345	1515.8479234346	1512.747293347	1509.6807773348	1506.6480393349	1494.304403350	1549.427104
3351	1488.370474352	1528.723895
353	1520.920875
354	1507.117083
355	1498.515473
356	1489.474692
357	1481.976843
358	1472.38271
359	1462.097731
360	1454.872279
361	1443.936882
