date,current_market_queries,last_year_market_queries
"2023-01-01",57.23594895465653,31.143089872386643
"2023-01-02",72.6242193863698,29.96877545479229
"2023-01-03",74.99321205538963,30.050230790116753
"2023-01-04",76.60195492804779,31.1770295954385
"2023-01-05",73.02470811838175,30.681509638881348
"2023-01-06",69.42030953027424,29.989139288623406
"2023-01-07",70.70323106163454,33.627477599782786
"2023-01-08",91.12815639424382,48.7170784686397
"2023-01-09",87.5984251968504,39.32256312788488
"2023-01-10",85.7792560412707,38.29079554710834
"2023-01-11",80.94623947868585,35.97610643497149
"2023-01-12",76.14037469454249,34.3741515069237
"2023-01-13",70.75753461851751,31.978007059462396
"2023-01-14",75.14933478142818,34.679609014390444
"2023-01-15",94.80722237306544,53.455063806679334
"2023-01-16",85.05973391257128,43.68721151235406
"2023-01-17",79.3374966060277,41.14173228346457
"2023-01-18",74.86424110779257,39.32935107249525
"2023-01-19",67.75047515612273,36.52592994841162
"2023-01-20",64.13250067879446,35.195492804778716
"2023-01-21",65.15069237035026,38.2025522671735
"2023-01-22",83.16589736627749,54.30355688297583
"2023-01-23",77.55226717349987,46.144447461308715
"2023-01-24",73.6424110779256,44.24382297040456
"2023-01-25",70.20092316046701,42.05131686125441
"2023-01-26",64.79093130600054,40.714091773011134
"2023-01-27",61.25441216399674,37.57806136301928
"2023-01-28",63.562313331523214,41.433613901710565
"2023-01-29",80.51181102362204,55.74938908498507
"2023-01-30",76.44583220200923,51.330437143632906
"2023-01-31",71.65354330708661,47.97719250610915
"2023-02-01",69.52212869942981,46.972576703774095
"2023-02-02",66.27070323106163,45.09910399131143
"2023-02-03",61.34265544393158,41.89519413521586
"2023-02-04",61.74314417594353,42.68259571001901
"2023-02-05",80.38284007602498,62.1843605756177
"2023-02-06",73.47950040727667,53.33288080369264
"2023-02-07",71.15802335052946,50.92316046701059
"2023-02-08",65.82269888677709,48.784957914743416
"2023-02-09",62.00108607113766,46.32772196578876
"2023-02-10",57.23594895465653,44.5492804778713
"2023-02-11",59.211240836274776,45.28916644040184
"2023-02-12",73.77138202552267,63.74558783600326
"2023-02-13",70.97474884604942,52.70838989953842
"2023-02-14",63.16861254412164,54.49361933206625
"2023-02-15",64.05783328808037,53.88270431713277
"2023-02-16",60.70458865055661,49.26690198207983
"2023-02-17",57.154493619332065,45.81183817540049
"2023-02-18",59.57100190062449,47.62421938636981
"2023-02-19",71.60602769481402,67.84550638066793
"2023-02-20",68.88406190605485,59.39451534075482
"2023-02-21",68.21205538962802,54.61580233505295
"2023-02-22",66.18924789573717,50.95710019006245
"2023-02-23",62.84279120282378,39.207168069508555
"2023-02-24",59.00760249796362,36.7974477328265
"2023-02-25",60.10046158023351,36.437686668476786
"2023-02-26",76.0657073038284,45.57426011403747
"2023-02-27",72.16942709747488,44.06054846592452
"2023-02-28",69.59679609014391,41.55579690469726
"2023-03-01",66.93592180287808,42.32962259027966
"2023-03-02",63.96959000814553,40.59869671463481
"2023-03-03",59.72712462666305,36.59380939451534
"2023-03-04",62.32690741243552,38.51479771925061
"2023-03-05",79.87374423024708,52.52511539505838
"2023-03-06",76.2354059190877,47.90252511539506
"2023-03-07",74.6606027694814,45.655715449361935
"2023-03-08",69.61037197936464,44.45424925332609
"2023-03-09",66.85446646755362,41.46076568015205
"2023-03-10",59.44203095302743,39.53298941080641
"2023-03-11",61.38338311159381,40.2864512625577
"2023-03-12",80.30138474070051,52.60657073038284
"2023-03-13",79.01846320934021,49.28047787130057
"2023-03-14",74.51805593266359,46.92506109150149
"2023-03-15",68.41569372793919,44.915829486831385
"2023-03-16",64.68911213684497,41.10100461580234
"2023-03-17",57.45316318218843,38.44013032853652
"2023-03-18",61.26120010860711,38.25685582405647
"2023-03-19",75.40048873201195,51.84632093402118
"2023-03-20",76.14037469454249,49.368721151235405
"2023-03-21",73.34374151506924,48.235134401303284
"2023-03-22",70.77789845234862,45.879717621504206
"2023-03-23",65.5308172685311,42.32283464566929
"2023-03-24",60.75889220743959,38.60982894379582
"2023-03-25",62.17757263100733,37.38121096931849
"2023-03-26",84.12299755633994,50.44800434428455
"2023-03-27",100,52.22644583220201
"2023-03-28",76.01140374694542,53.84876459408091
"2023-03-29",69.38636980722238,52.95275590551181
"2023-03-30",65.51045343469997,48.15367906597882
"2023-03-31",62.075753461851754,43.80260657073038
"2023-04-01",64.07819712191149,48.4727124626663
"2023-04-02",79.03882704317132,63.52158566386098
"2023-04-03",74.0089600868857,58.76323649199023
"2023-04-04",70.46565300027152,55.32174857453163
"2023-04-05",67.36356231333153,52.92560412707032
"2023-04-06",61.47841433613902,50.96388813467282
"2023-04-07",61.78387184360576,45.581048058647845
"2023-04-08",55.72902525115395,47.278034211240836
"2023-04-09",65.47651371164811,59.19087700244366
"2023-04-10",82.89437958186261,57.10019006244909
"2023-04-11",78.57724680966604,53.35324463752376
"2023-04-12",79.67010589193592,49.687754547922886
"2023-04-13",73.18761878903068,44.78007059462395
"2023-04-14",65.84985066521857,45.350257941895194
"2023-04-15",65.37469454249253,38.358674993212055
"2023-04-16",84.34699972848222,46.239478685853925
"2023-04-17",80.05701873472712,59.10942166711919
"2023-04-18",78.54330708661418,57.7518327450448
"2023-04-19",75.00678794461037,56.07521042628292
"2023-04-20",71.9725767037741,53.31251696986153
"2023-04-21",66.48112951398316,48.954656530002715
"2023-04-22",66.09421667119196,47.34591365734455
"2023-04-23",83.50529459679609,62.679880532174856
"2023-04-24",84.9103991311431,61.61417322834646
"2023-04-25",79.32392071680695,58.36274775997828
"2023-04-26",75.14254683681781,55.511811023622045
