rank,origin_country,destination_country,ratio
1,"Reino Unido","España",0.28744803691886833
2,"Alemania","España",0.18399946871193731
3,"Francia","España",0.10596229550355087
4,"Estados Unidos","España",0.06331088547068449
5,"Países Bajos","España",0.06233450235547128
6,"Italia","España",0.04911871179600799
7,"Irlanda","España",0.04186012993949533
8,"Bélgica","España",0.037505263425621084
9,"Portugal","España",0.0188734432270663
10,"Polonia","España",0.0179140161138539
