rank,origin_country,destination_country,ratio
1,"España","Francia",0.1529150471960022
2,"España","Italia",0.12367351471404775
3,"España","Reino Unido",0.09556468628539701
4,"España","Portugal",0.0915446973903387
5,"España","Estados Unidos",0.0809905607995558
6,"España","Andorra",0.07656191004997223
7,"España","Alemania",0.033559133814547476
8,"España","Marruecos",0.027948917268184343
9,"España","Países Bajos",0.026767351471404775
10,"España","República Dominicana",0.026305385896724043
